Species,Rank_1,Rank_2,Rank_3,Rank_4,Rank_5,Rank_6,Rank_7,Rank_8,Rank_9,Rank_10,Rank_11,Rank_12,Rank_13,Rank_14,Rank_15,Rank_16,Rank_17,Rank_18,Rank_19,Rank_20,Rank_21,Rank_22,Rank_23,Rank_24,Rank_25
Aeromonas sp. CA23,cellular organisms,Bacteria,Pseudomonadati,Pseudomonadota,Gammaproteobacteria,Aeromonadales,Aeromonadaceae,Aeromonas,unclassified Aeromonas,,,,,,,,,,,,,,,,
Aeromonas sp. CU5,cellular organisms,Bacteria,Pseudomonadati,Pseudomonadota,Gammaproteobacteria,Aeromonadales,Aeromonadaceae,Aeromonas,unclassified Aeromonas,,,,,,,,,,,,,,,,
Aeromonas sp. O23A,cellular organisms,Bacteria,Pseudomonadati,Pseudomonadota,Gammaproteobacteria,Aeromonadales,Aeromonadaceae,Aeromonas,,,,,,,,,,,,,,,,,
Aeromonas veronii,cellular organisms,Bacteria,Pseudomonadati,Pseudomonadota,Gammaproteobacteria,Aeromonadales,Aeromonadaceae,Aeromonas,,,,,,,,,,,,,,,,,
Aeromonas virus 25,Viruses,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Straboviridae,Tulanevirus,,,,,,,,,,,,,,,,,,
Aeromonas virus 65,Viruses,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Straboviridae,Emmerichvirinae,Ishigurovirus,,,,,,,,,,,,,,,,,
Aeromonas virus AS4,Viruses,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Straboviridae,Tulanevirus,,,,,,,,,,,,,,,,,,
Aeromonas virus Aes12,Viruses,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Straboviridae,Tulanevirus,,,,,,,,,,,,,,,,,,
Aeromonas virus Aes508,Viruses,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Straboviridae,Tulanevirus,,,,,,,,,,,,,,,,,,
Aeromonas virus phiO18P,Viruses,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Peduoviridae,Bielevirus,,,,,,,,,,,,,,,,,,
Aeropyrum pernix ovoid virus 1,Viruses,Viruses incertae sedis,Guttaviridae,Betaguttavirus,,,,,,,,,,,,,,,,,,,,,
Agarilytica rhodophyticola,cellular organisms,Bacteria,Pseudomonadati,Pseudomonadota,Gammaproteobacteria,Cellvibrionales,Cellvibrionaceae,Agarilytica,,,,,,,,,,,,,,,,,
Agarivorans gilvus,cellular organisms,Bacteria,Pseudomonadati,Pseudomonadota,Gammaproteobacteria,Alteromonadales,Alteromonadaceae,Agarivorans,,,,,,,,,,,,,,,,,
Aggregatibacter actinomycetemcomitans,cellular organisms,Bacteria,Pseudomonadati,Pseudomonadota,Gammaproteobacteria,Pasteurellales,Pasteurellaceae,Aggregatibacter,,,,,,,,,,,,,,,,,
Aggregatibacter aphrophilus,cellular organisms,Bacteria,Pseudomonadati,Pseudomonadota,Gammaproteobacteria,Pasteurellales,Pasteurellaceae,Aggregatibacter,,,,,,,,,,,,,,,,,
Aggregatibacter phage S1249,Viruses,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,unclassified Caudoviricetes,,,,,,,,,,,,,,,,,,,
Agrobacterium fabrum,cellular organisms,Bacteria,Pseudomonadati,Pseudomonadota,Alphaproteobacteria,Hyphomicrobiales,Rhizobiaceae,Rhizobium/Agrobacterium group,Agrobacterium,Agrobacterium tumefaciens complex,,,,,,,,,,,,,,,
Agrobacterium phage 7-7-1,Viruses,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Schmittlotzvirus,Schmittlotzvirus sv771,,,,,,,,,,,,,,,,,,
Agrobacterium rhizogenes,,,,,,,,,,,,,,,,,,,,,,,,,
Agrobacterium sp. H13-3,cellular organisms,Bacteria,Pseudomonadati,Pseudomonadota,Alphaproteobacteria,Hyphomicrobiales,Rhizobiaceae,Rhizobium/Agrobacterium group,Agrobacterium,Agrobacterium tumefaciens complex,,,,,,,,,,,,,,,
Agrobacterium sp. RAC06,cellular organisms,Bacteria,Pseudomonadati,Pseudomonadota,Alphaproteobacteria,Hyphomicrobiales,Rhizobiaceae,Rhizobium/Agrobacterium group,Agrobacterium,unclassified Agrobacterium,,,,,,,,,,,,,,,
Agrobacterium tumefaciens,cellular organisms,Bacteria,Pseudomonadati,Pseudomonadota,Alphaproteobacteria,Hyphomicrobiales,Rhizobiaceae,Rhizobium/Agrobacterium group,Agrobacterium,Agrobacterium tumefaciens complex,,,,,,,,,,,,,,,
Agrobacterium vitis,cellular organisms,Bacteria,Pseudomonadati,Pseudomonadota,Alphaproteobacteria,Hyphomicrobiales,Rhizobiaceae,Rhizobium/Agrobacterium group,Agrobacterium,,,,,,,,,,,,,,,,
Agromyces aureus,cellular organisms,Bacteria,Bacillati,Actinomycetota,Actinomycetes,Micrococcales,Microbacteriaceae,Agromyces,,,,,,,,,,,,,,,,,
Agrotis ipsilon multiple nucleopolyhedrovirus,Viruses,Viruses incertae sedis,Naldaviricetes,Lefavirales,Baculoviridae,Alphabaculovirus,Alphabaculovirus agipsilonis,,,,,,,,,,,,,,,,,,
Agrotis segetum nucleopolyhedrovirus A,Viruses,Viruses incertae sedis,Naldaviricetes,Lefavirales,Baculoviridae,Alphabaculovirus,Alphabaculovirus agsegetum,,,,,,,,,,,,,,,,,,
Agrotis segetum nucleopolyhedrovirus B,Viruses,Viruses incertae sedis,Naldaviricetes,Lefavirales,Baculoviridae,Alphabaculovirus,Alphabaculovirus alteragsegetum,,,,,,,,,,,,,,,,,,
Akkermansia glycaniphila,cellular organisms,Bacteria,Pseudomonadati,PVC group,Verrucomicrobiota,Verrucomicrobiia,Verrucomicrobiales,Akkermansiaceae,Akkermansia,,,,,,,,,,,,,,,,
Akkermansia muciniphila,cellular organisms,Bacteria,Pseudomonadati,PVC group,Verrucomicrobiota,Verrucomicrobiia,Verrucomicrobiales,Akkermansiaceae,Akkermansia,,,,,,,,,,,,,,,,
Alcaligenes faecalis,cellular organisms,Bacteria,Pseudomonadati,Pseudomonadota,Betaproteobacteria,Burkholderiales,Alcaligenaceae,Alcaligenes,,,,,,,,,,,,,,,,,
Alcanivorax borkumensis,cellular organisms,Bacteria,Pseudomonadati,Pseudomonadota,Gammaproteobacteria,Oceanospirillales,Alcanivoracaceae,Alcanivorax,,,,,,,,,,,,,,,,,
Alcanivorax dieselolei,cellular organisms,Bacteria,Pseudomonadati,Pseudomonadota,Gammaproteobacteria,Oceanospirillales,Alcanivoracaceae,Alloalcanivorax,,,,,,,,,,,,,,,,,
Alcanivorax pacificus,cellular organisms,Bacteria,Pseudomonadati,Pseudomonadota,Gammaproteobacteria,Oceanospirillales,Alcanivoracaceae,Isoalcanivorax,,,,,,,,,,,,,,,,,
Alcanivorax sp. NBRC 101098,cellular organisms,Bacteria,Pseudomonadati,Pseudomonadota,Gammaproteobacteria,Oceanospirillales,Alcanivoracaceae,Alcanivorax,unclassified Alcanivorax,,,,,,,,,,,,,,,,
Alcanivorax xenomutans,cellular organisms,Bacteria,Pseudomonadati,Pseudomonadota,Gammaproteobacteria,Oceanospirillales,Alcanivoracaceae,Alloalcanivorax,,,,,,,,,,,,,,,,,
Algibacter alginicilyticus,,,,,,,,,,,,,,,,,,,,,,,,,
Algoriphagus sp. M8-2,cellular organisms,Bacteria,Pseudomonadati,FCB group,Bacteroidota/Chlorobiota group,Bacteroidota,Cytophagia,Cytophagales,Cyclobacteriaceae,Algoriphagus,,,,,,,,,,,,,,,
Alicycliphilus denitrificans,cellular organisms,Bacteria,Pseudomonadati,Pseudomonadota,Betaproteobacteria,Burkholderiales,Comamonadaceae,Alicycliphilus,,,,,,,,,,,,,,,,,
Alicyclobacillus acidocaldarius,cellular organisms,Bacteria,Bacillati,Bacillota,Bacilli,Bacillales,Alicyclobacillaceae,Alicyclobacillus,,,,,,,,,,,,,,,,,
Aliivibrio fischeri,cellular organisms,Bacteria,Pseudomonadati,Pseudomonadota,Gammaproteobacteria,Vibrionales,Vibrionaceae,Aliivibrio,,,,,,,,,,,,,,,,,
Aliivibrio salmonicida,cellular organisms,Bacteria,Pseudomonadati,Pseudomonadota,Gammaproteobacteria,Vibrionales,Vibrionaceae,Aliivibrio,,,,,,,,,,,,,,,,,
Aliivibrio wodanis,cellular organisms,Bacteria,Pseudomonadati,Pseudomonadota,Gammaproteobacteria,Vibrionales,Vibrionaceae,Aliivibrio,,,,,,,,,,,,,,,,,
Alistipes finegoldii,cellular organisms,Bacteria,Pseudomonadati,FCB group,Bacteroidota/Chlorobiota group,Bacteroidota,Bacteroidia,Bacteroidales,Rikenellaceae,Alistipes,,,,,,,,,,,,,,,
Alkalilimnicola ehrlichii,cellular organisms,Bacteria,Pseudomonadati,Pseudomonadota,Gammaproteobacteria,Chromatiales,Ectothiorhodospiraceae,Alkalilimnicola,,,,,,,,,,,,,,,,,
Alkaliphilus metalliredigens,cellular organisms,Bacteria,Bacillati,Bacillota,Clostridia,Peptostreptococcales,Natronincolaceae,Alkaliphilus,,,,,,,,,,,,,,,,,
Alkaliphilus oremlandii,cellular organisms,Bacteria,Bacillati,Bacillota,Clostridia,Peptostreptococcales,Natronincolaceae,Alkaliphilus,,,,,,,,,,,,,,,,,
Alkalitalea saponilacus,cellular organisms,Bacteria,Pseudomonadati,FCB group,Bacteroidota/Chlorobiota group,Bacteroidota,Bacteroidia,Marinilabiliales,Marinilabiliaceae,Alkalitalea,,,,,,,,,,,,,,,
Alloactinosynnema sp. L-07,cellular organisms,Bacteria,Bacillati,Actinomycetota,Actinomycetes,Pseudonocardiales,Pseudonocardiaceae,Alloactinosynnema,unclassified Alloactinosynnema,,,,,,,,,,,,,,,,
Allochromatium vinosum,cellular organisms,Bacteria,Pseudomonadati,Pseudomonadota,Gammaproteobacteria,Chromatiales,Chromatiaceae,Allochromatium,,,,,,,,,,,,,,,,,
Alphapapillomavirus 1,Viruses,Monodnaviria,Shotokuvirae,Cossaviricota,Papovaviricetes,Zurhausenvirales,Papillomaviridae,Firstpapillomavirinae,Alphapapillomavirus,,,,,,,,,,,,,,,,
Alphapapillomavirus 14,Viruses,Monodnaviria,Shotokuvirae,Cossaviricota,Papovaviricetes,Zurhausenvirales,Papillomaviridae,Firstpapillomavirinae,Alphapapillomavirus,,,,,,,,,,,,,,,,
Alphapapillomavirus 2,Viruses,Monodnaviria,Shotokuvirae,Cossaviricota,Papovaviricetes,Zurhausenvirales,Papillomaviridae,Firstpapillomavirinae,Alphapapillomavirus,,,,,,,,,,,,,,,,
Alphapapillomavirus 3,Viruses,Monodnaviria,Shotokuvirae,Cossaviricota,Papovaviricetes,Zurhausenvirales,Papillomaviridae,Firstpapillomavirinae,Alphapapillomavirus,,,,,,,,,,,,,,,,
Alphapapillomavirus 4,Viruses,Monodnaviria,Shotokuvirae,Cossaviricota,Papovaviricetes,Zurhausenvirales,Papillomaviridae,Firstpapillomavirinae,Alphapapillomavirus,,,,,,,,,,,,,,,,
Alphapapillomavirus 6,Viruses,Monodnaviria,Shotokuvirae,Cossaviricota,Papovaviricetes,Zurhausenvirales,Papillomaviridae,Firstpapillomavirinae,Alphapapillomavirus,,,,,,,,,,,,,,,,
Altererythrobacter atlanticus,cellular organisms,Bacteria,Pseudomonadati,Pseudomonadota,Alphaproteobacteria,Sphingomonadales,Erythrobacteraceae,Croceibacterium,,,,,,,,,,,,,,,,,
Altererythrobacter dongtanensis,cellular organisms,Bacteria,Pseudomonadati,Pseudomonadota,Alphaproteobacteria,Sphingomonadales,Erythrobacteraceae,Tsuneonella,,,,,,,,,,,,,,,,,
Altererythrobacter epoxidivorans,cellular organisms,Bacteria,Pseudomonadati,Pseudomonadota,Alphaproteobacteria,Sphingomonadales,Erythrobacteraceae,Altererythrobacter,,,,,,,,,,,,,,,,,
Altererythrobacter ishigakiensis,cellular organisms,Bacteria,Pseudomonadati,Pseudomonadota,Alphaproteobacteria,Sphingomonadales,Erythrobacteraceae,Altererythrobacter,,,,,,,,,,,,,,,,,
Altererythrobacter mangrovi,cellular organisms,Bacteria,Pseudomonadati,Pseudomonadota,Alphaproteobacteria,Sphingomonadales,Erythrobacteraceae,Tsuneonella,,,,,,,,,,,,,,,,,
Altererythrobacter marensis,cellular organisms,Bacteria,Pseudomonadati,Pseudomonadota,Alphaproteobacteria,Sphingomonadales,Erythrobacteraceae,Pelagerythrobacter,,,,,,,,,,,,,,,,,
Altererythrobacter namhicola,cellular organisms,Bacteria,Pseudomonadati,Pseudomonadota,Alphaproteobacteria,Sphingomonadales,Erythrobacteraceae,Paraurantiacibacter,,,,,,,,,,,,,,,,,
Alteromonas addita,cellular organisms,Bacteria,Pseudomonadati,Pseudomonadota,Gammaproteobacteria,Alteromonadales,Alteromonadaceae,Alteromonas/Salinimonas group,Alteromonas,,,,,,,,,,,,,,,,
Alteromonas australica,cellular organisms,Bacteria,Pseudomonadati,Pseudomonadota,Gammaproteobacteria,Alteromonadales,Alteromonadaceae,Alteromonas/Salinimonas group,Alteromonas,,,,,,,,,,,,,,,,
Alteromonas macleodii,cellular organisms,Bacteria,Pseudomonadati,Pseudomonadota,Gammaproteobacteria,Alteromonadales,Alteromonadaceae,Alteromonas/Salinimonas group,Alteromonas,,,,,,,,,,,,,,,,
Alteromonas mediterranea,cellular organisms,Bacteria,Pseudomonadati,Pseudomonadota,Gammaproteobacteria,Alteromonadales,Alteromonadaceae,Alteromonas/Salinimonas group,Alteromonas,,,,,,,,,,,,,,,,
Alteromonas naphthalenivorans,cellular organisms,Bacteria,Pseudomonadati,Pseudomonadota,Gammaproteobacteria,Alteromonadales,Alteromonadaceae,Alteromonas/Salinimonas group,Alteromonas,,,,,,,,,,,,,,,,
Alteromonas sp. MB-3u-76,cellular organisms,Bacteria,Pseudomonadati,Pseudomonadota,Gammaproteobacteria,Alteromonadales,Alteromonadaceae,Alteromonas/Salinimonas group,Alteromonas,unclassified Alteromonas,,,,,,,,,,,,,,,
Alteromonas sp. Mac1,cellular organisms,Bacteria,Pseudomonadati,Pseudomonadota,Gammaproteobacteria,Alteromonadales,Alteromonadaceae,Alteromonas/Salinimonas group,Alteromonas,unclassified Alteromonas,,,,,,,,,,,,,,,
Alteromonas sp. RW2A1,cellular organisms,Bacteria,Pseudomonadati,Pseudomonadota,Gammaproteobacteria,Alteromonadales,Alteromonadaceae,Alteromonas/Salinimonas group,Alteromonas,unclassified Alteromonas,,,,,,,,,,,,,,,
Alteromonas stellipolaris,cellular organisms,Bacteria,Pseudomonadati,Pseudomonadota,Gammaproteobacteria,Alteromonadales,Alteromonadaceae,Alteromonas/Salinimonas group,Alteromonas,,,,,,,,,,,,,,,,
Aminobacter aminovorans,cellular organisms,Bacteria,Pseudomonadati,Pseudomonadota,Alphaproteobacteria,Hyphomicrobiales,Phyllobacteriaceae,Aminobacter,,,,,,,,,,,,,,,,,
Ammonifex degensii,cellular organisms,Bacteria,Bacillati,Bacillota,Clostridia,Thermoanaerobacterales,Thermoanaerobacteraceae,Ammonifex,,,,,,,,,,,,,,,,,
Amphibacillus xylanus,cellular organisms,Bacteria,Bacillati,Bacillota,Bacilli,Bacillales,Bacillaceae,Amphibacillus,,,,,,,,,,,,,,,,,
Amycolatopsis japonica,cellular organisms,Bacteria,Bacillati,Actinomycetota,Actinomycetes,Pseudonocardiales,Pseudonocardiaceae,Amycolatopsis,Amycolatopsis japonica group,,,,,,,,,,,,,,,,
Amycolatopsis mediterranei,cellular organisms,Bacteria,Bacillati,Actinomycetota,Actinomycetes,Pseudonocardiales,Pseudonocardiaceae,Amycolatopsis,,,,,,,,,,,,,,,,,
Amycolatopsis methanolica,cellular organisms,Bacteria,Bacillati,Actinomycetota,Actinomycetes,Pseudonocardiales,Pseudonocardiaceae,Amycolatopsis,Amycolatopsis methanolica group,,,,,,,,,,,,,,,,
Amycolatopsis orientalis,cellular organisms,Bacteria,Bacillati,Actinomycetota,Actinomycetes,Pseudonocardiales,Pseudonocardiaceae,Amycolatopsis,,,,,,,,,,,,,,,,,
Amycolatopsis sp. AA4,cellular organisms,Bacteria,Bacillati,Actinomycetota,Actinomycetes,Pseudonocardiales,Pseudonocardiaceae,Amycolatopsis,unclassified Amycolatopsis,,,,,,,,,,,,,,,,
Amycolatopsis sp. BJA-103,cellular organisms,Bacteria,Bacillati,Actinomycetota,Actinomycetes,Pseudonocardiales,Pseudonocardiaceae,Amycolatopsis,unclassified Amycolatopsis,,,,,,,,,,,,,,,,
Anabaena cylindrica,cellular organisms,Bacteria,Bacillati,Cyanobacteriota/Melainabacteria group,Cyanobacteriota,Cyanophyceae,Nostocales,Nostocaceae,Anabaena,,,,,,,,,,,,,,,,
Anabaena sp. 90,cellular organisms,Bacteria,Bacillati,Cyanobacteriota/Melainabacteria group,Cyanobacteriota,Cyanophyceae,Nostocales,Nostocaceae,Anabaena,unclassified Anabaena,,,,,,,,,,,,,,,
Anabaena sp. WA102,cellular organisms,Bacteria,Bacillati,Cyanobacteriota/Melainabacteria group,Cyanobacteriota,Cyanophyceae,Nostocales,Nostocaceae,Anabaena,unclassified Anabaena,,,,,,,,,,,,,,,
Anaerococcus mediterraneensis,cellular organisms,Bacteria,Bacillati,Bacillota,Tissierellia,Tissierellales,Peptoniphilaceae,Anaerococcus,,,,,,,,,,,,,,,,,
Anaerococcus prevotii,cellular organisms,Bacteria,Bacillati,Bacillota,Tissierellia,Tissierellales,Peptoniphilaceae,Anaerococcus,,,,,,,,,,,,,,,,,
Anaerolinea thermophila,cellular organisms,Bacteria,Bacillati,Chloroflexota,Anaerolineae,Anaerolineales,Anaerolineaceae,Anaerolinea,,,,,,,,,,,,,,,,,
Anaerolineaceae bacterium oral taxon 439,cellular organisms,Bacteria,Bacillati,Chloroflexota,Anaerolineae,Anaerolineales,Anaerolineaceae,unclassified Anaerolineaceae,,,,,,,,,,,,,,,,,
Anaeromyxobacter dehalogenans,cellular organisms,Bacteria,Pseudomonadati,Myxococcota,Myxococcia,Myxococcales,Cystobacterineae,Anaeromyxobacteraceae,Anaeromyxobacter,,,,,,,,,,,,,,,,
Anaeromyxobacter sp. Fw109-5,cellular organisms,Bacteria,Pseudomonadati,Myxococcota,Myxococcia,Myxococcales,Cystobacterineae,Anaeromyxobacteraceae,Anaeromyxobacter,unclassified Anaeromyxobacter,,,,,,,,,,,,,,,
Anaeromyxobacter sp. K,cellular organisms,Bacteria,Pseudomonadati,Myxococcota,Myxococcia,Myxococcales,Cystobacterineae,Anaeromyxobacteraceae,Anaeromyxobacter,unclassified Anaeromyxobacter,,,,,,,,,,,,,,,
Anaerostipes hadrus,cellular organisms,Bacteria,Bacillati,Bacillota,Clostridia,Lachnospirales,Lachnospiraceae,Anaerostipes,,,,,,,,,,,,,,,,,
Anaerotignum propionicum,cellular organisms,Bacteria,Bacillati,Bacillota,Clostridia,Lachnospirales,Anaerotignaceae,Anaerotignum,,,,,,,,,,,,,,,,,
Aneurinibacillus soli,cellular organisms,Bacteria,Bacillati,Bacillota,Bacilli,Bacillales,Paenibacillaceae,Aneurinibacillus group,Aneurinibacillus,,,,,,,,,,,,,,,,
Aneurinibacillus sp. XH2,cellular organisms,Bacteria,Bacillati,Bacillota,Bacilli,Bacillales,Paenibacillaceae,Aneurinibacillus group,Aneurinibacillus,unclassified Aneurinibacillus,,,,,,,,,,,,,,,
Anoxybacillus amylolyticus,cellular organisms,Bacteria,Bacillati,Bacillota,Bacilli,Bacillales,Anoxybacillaceae,Anoxybacteroides,,,,,,,,,,,,,,,,,
Anoxybacillus flavithermus,cellular organisms,Bacteria,Bacillati,Bacillota,Bacilli,Bacillales,Anoxybacillaceae,Anoxybacillus,,,,,,,,,,,,,,,,,
Anoxybacillus gonensis,cellular organisms,Bacteria,Bacillati,Bacillota,Bacilli,Bacillales,Anoxybacillaceae,Anoxybacillus,,,,,,,,,,,,,,,,,
Antarctobacter heliothermus,cellular organisms,Bacteria,Pseudomonadati,Pseudomonadota,Alphaproteobacteria,Rhodobacterales,Roseobacteraceae,Antarctobacter,,,,,,,,,,,,,,,,,
Aquaspirillum sp. LM1,cellular organisms,Bacteria,Pseudomonadati,Pseudomonadota,Betaproteobacteria,Neisseriales,Aquaspirillaceae,Aquaspirillum,unclassified Aquaspirillum,,,,,,,,,,,,,,,,
Arachidicoccus sp. BS20,cellular organisms,Bacteria,Pseudomonadati,FCB group,Bacteroidota/Chlorobiota group,Bacteroidota,Chitinophagia,Chitinophagales,Chitinophagaceae,Arachidicoccus,unclassified Arachidicoccus,,,,,,,,,,,,,,
Arcanobacterium haemolyticum,cellular organisms,Bacteria,Bacillati,Actinomycetota,Actinomycetes,Actinomycetales,Actinomycetaceae,Arcanobacterium,,,,,,,,,,,,,,,,,
Archangium gephyra,cellular organisms,Bacteria,Pseudomonadati,Myxococcota,Myxococcia,Myxococcales,Cystobacterineae,Archangiaceae,Archangium,,,,,,,,,,,,,,,,
Arcobacter butzleri,cellular organisms,Bacteria,Pseudomonadati,Campylobacterota,Epsilonproteobacteria,Campylobacterales,Arcobacteraceae,Aliarcobacter,,,,,,,,,,,,,,,,,
Arcobacter nitrofigilis,cellular organisms,Bacteria,Pseudomonadati,Campylobacterota,Epsilonproteobacteria,Campylobacterales,Arcobacteraceae,Arcobacter,,,,,,,,,,,,,,,,,
Arcobacter sp. L,cellular organisms,Bacteria,Pseudomonadati,Campylobacterota,Epsilonproteobacteria,Campylobacterales,Arcobacteraceae,Arcobacter,unclassified Arcobacter,,,,,,,,,,,,,,,,
Arcobacter sp. LPB0137,cellular organisms,Bacteria,Pseudomonadati,Campylobacterota,Epsilonproteobacteria,Campylobacterales,Arcobacteraceae,Poseidonibacter,,,,,,,,,,,,,,,,,
Arenibacter algicola,cellular organisms,Bacteria,Pseudomonadati,FCB group,Bacteroidota/Chlorobiota group,Bacteroidota,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Arenibacter,,,,,,,,,,,,,,,
Aromatoleum aromaticum,cellular organisms,Bacteria,Pseudomonadati,Pseudomonadota,Betaproteobacteria,Rhodocyclales,Rhodocyclaceae,Aromatoleum,,,,,,,,,,,,,,,,,
Arsenicicoccus sp. oral taxon 190,cellular organisms,Bacteria,Bacillati,Actinomycetota,Actinomycetes,Micrococcales,Intrasporangiaceae,Arsenicicoccus,unclassified Arsenicicoccus,,,,,,,,,,,,,,,,
Arsenophonus symbiont of Lipoptena fortisetosa,cellular organisms,Bacteria,Pseudomonadati,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Morganellaceae,Arsenophonus,,,,,,,,,,,,,,,,,
Arthrobacter alpinus,cellular organisms,Bacteria,Bacillati,Actinomycetota,Actinomycetes,Micrococcales,Micrococcaceae,Arthrobacter,,,,,,,,,,,,,,,,,
Arthrobacter crystallopoietes,cellular organisms,Bacteria,Bacillati,Actinomycetota,Actinomycetes,Micrococcales,Micrococcaceae,Arthrobacter,,,,,,,,,,,,,,,,,
Arthrobacter phage vB_ArS-ArV2,Viruses,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Arvduovirus,Arvduovirus ArV2,,,,,,,,,,,,,,,,,,
Arthrobacter sp. A3,cellular organisms,Bacteria,Bacillati,Actinomycetota,Actinomycetes,Micrococcales,Micrococcaceae,Arthrobacter,,,,,,,,,,,,,,,,,
Arthrobacter sp. ATCC 21022,cellular organisms,Bacteria,Bacillati,Actinomycetota,Actinomycetes,Micrococcales,Micrococcaceae,Paenarthrobacter,unclassified Paenarthrobacter,,,,,,,,,,,,,,,,
Arthrobacter sp. ERGS1:01,,,,,,,,,,,,,,,,,,,,,,,,,
Arthrobacter sp. FB24,cellular organisms,Bacteria,Bacillati,Actinomycetota,Actinomycetes,Micrococcales,Micrococcaceae,Arthrobacter,unclassified Arthrobacter,,,,,,,,,,,,,,,,
Arthrobacter sp. IHBB 11108,cellular organisms,Bacteria,Bacillati,Actinomycetota,Actinomycetes,Micrococcales,Micrococcaceae,Psychromicrobium,,,,,,,,,,,,,,,,,
Arthrobacter sp. LS16,cellular organisms,Bacteria,Bacillati,Actinomycetota,Actinomycetes,Micrococcales,Micrococcaceae,Arthrobacter,unclassified Arthrobacter,,,,,,,,,,,,,,,,
Arthrobacter sp. PAMC 25486,cellular organisms,Bacteria,Bacillati,Actinomycetota,Actinomycetes,Micrococcales,Micrococcaceae,Arthrobacter,unclassified Arthrobacter,,,,,,,,,,,,,,,,
Arthrobacter sp. QXT-31,cellular organisms,Bacteria,Bacillati,Actinomycetota,Actinomycetes,Micrococcales,Micrococcaceae,Arthrobacter,unclassified Arthrobacter,,,,,,,,,,,,,,,,
Arthrobacter sp. Rue61a,cellular organisms,Bacteria,Bacillati,Actinomycetota,Actinomycetes,Micrococcales,Micrococcaceae,Arthrobacter,unclassified Arthrobacter,,,,,,,,,,,,,,,,
Arthrobacter sp. U41,cellular organisms,Bacteria,Bacillati,Actinomycetota,Actinomycetes,Micrococcales,Micrococcaceae,Arthrobacter,unclassified Arthrobacter,,,,,,,,,,,,,,,,
Arthrobacter sp. YC-RL1,cellular organisms,Bacteria,Bacillati,Actinomycetota,Actinomycetes,Micrococcales,Micrococcaceae,Arthrobacter,unclassified Arthrobacter,,,,,,,,,,,,,,,,
Arthrobacter sp. YN,cellular organisms,Bacteria,Bacillati,Actinomycetota,Actinomycetes,Micrococcales,Micrococcaceae,Arthrobacter,unclassified Arthrobacter,,,,,,,,,,,,,,,,
Arthrobacter sp. ZXY-2,cellular organisms,Bacteria,Bacillati,Actinomycetota,Actinomycetes,Micrococcales,Micrococcaceae,Arthrobacter,unclassified Arthrobacter,,,,,,,,,,,,,,,,
Asaia bogorensis,cellular organisms,Bacteria,Pseudomonadati,Pseudomonadota,Alphaproteobacteria,Acetobacterales,Acetobacteraceae,Asaia,,,,,,,,,,,,,,,,,
Aster yellows witches'-broom phytoplasma,cellular organisms,Bacteria,Bacillati,Mycoplasmatota,Mollicutes,Acholeplasmatales,Acholeplasmataceae,Candidatus Phytoplasma,16SrI (Aster yellows group),,,,,,,,,,,,,,,,
Asticcacaulis excentricus,cellular organisms,Bacteria,Pseudomonadati,Pseudomonadota,Alphaproteobacteria,Caulobacterales,Caulobacteraceae,Asticcacaulis,,,,,,,,,,,,,,,,,
Atopobium parvulum,cellular organisms,Bacteria,Bacillati,Actinomycetota,Coriobacteriia,Coriobacteriales,Atopobiaceae,Lancefieldella,,,,,,,,,,,,,,,,,
Aurantimicrobium minutum,cellular organisms,Bacteria,Bacillati,Actinomycetota,Actinomycetes,Micrococcales,Microbacteriaceae,Aurantimicrobium,,,,,,,,,,,,,,,,,
